molecule_chembl_id,canonical_smiles,standard_value,0,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL158033,CC(C)C(NC(=O)C[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C,12500.0,inactive,587.7210000000001,2.8904000000000014,4.0,6.0,12500.0,4.903089986991944
CHEMBL170320,CC(C)CC(SC1CCCC1)c1c(O)cc(-c2ccccc2)oc1=O,40000.0,inactive,358.50300000000004,5.775400000000007,1.0,4.0,40000.0,4.3979400086720375
CHEMBL170804,O=c1cc(-c2ccccc2)oc(O)c1C(CC1CC1)SCc1ccccc1,40000.0,inactive,378.49300000000005,5.787000000000004,1.0,4.0,40000.0,4.3979400086720375
CHEMBL94762,NC1CCN(C(=O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CCc2ccccn2)CC1,100000.0,inactive,701.9130000000001,2.8405000000000022,6.0,8.0,100000.0,4.0
CHEMBL357253,CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1000000.0,inactive,680.8650000000005,0.4003000000000041,8.0,10.0,1000000.0,3.0
CHEMBL78946,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,6.0,active,893.0050000000001,-1.736100000000004,12.0,12.0,6.0,8.221848749616356
CHEMBL189901,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)O,98.0,active,616.7130000000003,-1.813199999999994,9.0,9.0,98.0,7.008773924307505
CHEMBL434943,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,10.0,active,919.043,-1.3460000000000034,12.0,12.0,10.0,8.0
CHEMBL363783,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,60.0,active,771.8660000000002,-2.0735,11.0,11.0,60.0,7.221848749616356
CHEMBL364446,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)C,25.0,active,614.8500000000004,2.308600000000003,6.0,7.0,25.0,7.6020599913279625
